Year,LocationAbbr,LocationDesc,Class,Data_Value,Data_Value_Unit,Stratification1,Stratification2,Stratification3,LocationID
2003,TX,El Paso,Cardiovascular Diseases,1771.6,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2017,TX,El Paso,Cardiovascular Diseases,1143,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2016,TX,El Paso,Cardiovascular Diseases,1165.7,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2013,TX,El Paso,Cardiovascular Diseases,1160,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2011,TX,El Paso,Cardiovascular Diseases,1215,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2014,TX,El Paso,Cardiovascular Diseases,1186.2,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2002,TX,El Paso,Cardiovascular Diseases,1859.7,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2001,TX,El Paso,Cardiovascular Diseases,1715.3,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2010,TX,El Paso,Cardiovascular Diseases,1287,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2015,TX,El Paso,Cardiovascular Diseases,1153.7,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
1999,TX,El Paso,Cardiovascular Diseases,1721.6,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2004,TX,El Paso,Cardiovascular Diseases,1535,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2005,TX,El Paso,Cardiovascular Diseases,1608.4,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2012,TX,El Paso,Cardiovascular Diseases,1154.3,"per 100,000",Ages 65 years and older,Hispanic,Overall,48141
2015,TX,El Paso,Cardiovascular Diseases,1602.7,"per 100,000",Ages 65 years and older,White,Overall,48141
2010,TX,El Paso,Cardiovascular Diseases,1614.6,"per 100,000",Ages 65 years and older,White,Overall,48141
2002,TX,El Paso,Cardiovascular Diseases,2272.1,"per 100,000",Ages 65 years and older,White,Overall,48141
2012,TX,El Paso,Cardiovascular Diseases,1540.3,"per 100,000",Ages 65 years and older,White,Overall,48141
2017,TX,El Paso,Cardiovascular Diseases,1672.5,"per 100,000",Ages 65 years and older,White,Overall,48141
2019,TX,El Paso,Cardiovascular Diseases,1653.5,"per 100,000",Ages 65 years and older,White,Overall,48141
2005,TX,El Paso,Cardiovascular Diseases,2102.3,"per 100,000",Ages 65 years and older,White,Overall,48141
2001,TX,El Paso,Cardiovascular Diseases,2227.7,"per 100,000",Ages 65 years and older,White,Overall,48141
2014,TX,El Paso,Cardiovascular Diseases,1543.5,"per 100,000",Ages 65 years and older,White,Overall,48141
2011,TX,El Paso,Cardiovascular Diseases,1593.6,"per 100,000",Ages 65 years and older,White,Overall,48141
2009,TX,El Paso,Cardiovascular Diseases,1628.1,"per 100,000",Ages 65 years and older,White,Overall,48141
1999,TX,El Paso,Cardiovascular Diseases,2378.4,"per 100,000",Ages 65 years and older,White,Overall,48141
2006,TX,El Paso,Cardiovascular Diseases,1879.2,"per 100,000",Ages 65 years and older,White,Overall,48141
2018,TX,El Paso,Cardiovascular Diseases,1666.7,"per 100,000",Ages 65 years and older,White,Overall,48141
2004,TX,El Paso,Cardiovascular Diseases,2171.9,"per 100,000",Ages 65 years and older,White,Overall,48141
2013,TX,El Paso,Cardiovascular Diseases,1520.4,"per 100,000",Ages 65 years and older,White,Overall,48141
2016,TX,El Paso,Cardiovascular Diseases,1572.7,"per 100,000",Ages 65 years and older,White,Overall,48141
2000,TX,El Paso,Cardiovascular Diseases,2293,"per 100,000",Ages 65 years and older,White,Overall,48141
2007,TX,El Paso,Cardiovascular Diseases,1758.9,"per 100,000",Ages 65 years and older,White,Overall,48141
2008,TX,El Paso,Cardiovascular Diseases,1760.2,"per 100,000",Ages 65 years and older,White,Overall,48141
2003,TX,El Paso,Cardiovascular Diseases,2351.4,"per 100,000",Ages 65 years and older,White,Overall,48141
2011,TX,Erath,Cardiovascular Diseases,81.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2006,TX,Erath,Cardiovascular Diseases,93.3,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2008,TX,Erath,Cardiovascular Diseases,88.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2018,TX,Erath,Cardiovascular Diseases,87.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2007,TX,Erath,Cardiovascular Diseases,90.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2009,TX,Erath,Cardiovascular Diseases,91,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2012,TX,Erath,Cardiovascular Diseases,82.7,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2010,TX,Erath,Cardiovascular Diseases,87.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2019,TX,Erath,Cardiovascular Diseases,87,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2005,TX,Erath,Cardiovascular Diseases,100.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2000,TX,Erath,Cardiovascular Diseases,115.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
1999,TX,Erath,Cardiovascular Diseases,119.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2017,TX,Erath,Cardiovascular Diseases,89.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2016,TX,Erath,Cardiovascular Diseases,86.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2001,TX,Erath,Cardiovascular Diseases,110.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2014,TX,Erath,Cardiovascular Diseases,90.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2015,TX,Erath,Cardiovascular Diseases,89.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2003,TX,Erath,Cardiovascular Diseases,104.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2013,TX,Erath,Cardiovascular Diseases,82.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2004,TX,Erath,Cardiovascular Diseases,107.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2002,TX,Erath,Cardiovascular Diseases,114,"per 100,000",Ages 35-64 years,Hispanic,Overall,48143
2014,TX,Erath,Cardiovascular Diseases,159,"per 100,000",Ages 35-64 years,White,Overall,48143
2018,TX,Erath,Cardiovascular Diseases,156.2,"per 100,000",Ages 35-64 years,White,Overall,48143
2013,TX,Erath,Cardiovascular Diseases,147.7,"per 100,000",Ages 35-64 years,White,Overall,48143
2017,TX,Erath,Cardiovascular Diseases,160.7,"per 100,000",Ages 35-64 years,White,Overall,48143
2004,TX,Erath,Cardiovascular Diseases,146.6,"per 100,000",Ages 35-64 years,White,Overall,48143
2005,TX,Erath,Cardiovascular Diseases,139.8,"per 100,000",Ages 35-64 years,White,Overall,48143
2015,TX,Erath,Cardiovascular Diseases,156.2,"per 100,000",Ages 35-64 years,White,Overall,48143
2007,TX,Erath,Cardiovascular Diseases,142.8,"per 100,000",Ages 35-64 years,White,Overall,48143
2019,TX,Erath,Cardiovascular Diseases,158,"per 100,000",Ages 35-64 years,White,Overall,48143
2000,TX,Erath,Cardiovascular Diseases,159.4,"per 100,000",Ages 35-64 years,White,Overall,48143
2001,TX,Erath,Cardiovascular Diseases,158.2,"per 100,000",Ages 35-64 years,White,Overall,48143
2016,TX,Erath,Cardiovascular Diseases,157.4,"per 100,000",Ages 35-64 years,White,Overall,48143
2008,TX,Erath,Cardiovascular Diseases,144.6,"per 100,000",Ages 35-64 years,White,Overall,48143
2006,TX,Erath,Cardiovascular Diseases,146,"per 100,000",Ages 35-64 years,White,Overall,48143
2009,TX,Erath,Cardiovascular Diseases,143.8,"per 100,000",Ages 35-64 years,White,Overall,48143
2002,TX,Erath,Cardiovascular Diseases,156.6,"per 100,000",Ages 35-64 years,White,Overall,48143
2012,TX,Erath,Cardiovascular Diseases,143,"per 100,000",Ages 35-64 years,White,Overall,48143
2010,TX,Erath,Cardiovascular Diseases,140.1,"per 100,000",Ages 35-64 years,White,Overall,48143
2003,TX,Erath,Cardiovascular Diseases,153,"per 100,000",Ages 35-64 years,White,Overall,48143
1999,TX,Erath,Cardiovascular Diseases,161.3,"per 100,000",Ages 35-64 years,White,Overall,48143
2011,TX,Erath,Cardiovascular Diseases,138.2,"per 100,000",Ages 35-64 years,White,Overall,48143
2015,TX,Erath,Cardiovascular Diseases,1686.3,"per 100,000",Ages 65 years and older,White,Overall,48143
2010,TX,Erath,Cardiovascular Diseases,1736.5,"per 100,000",Ages 65 years and older,White,Overall,48143
2002,TX,Erath,Cardiovascular Diseases,2286.1,"per 100,000",Ages 65 years and older,White,Overall,48143
2012,TX,Erath,Cardiovascular Diseases,1631.8,"per 100,000",Ages 65 years and older,White,Overall,48143
2017,TX,Erath,Cardiovascular Diseases,1686.6,"per 100,000",Ages 65 years and older,White,Overall,48143
2019,TX,Erath,Cardiovascular Diseases,1611.2,"per 100,000",Ages 65 years and older,White,Overall,48143
2005,TX,Erath,Cardiovascular Diseases,2114.2,"per 100,000",Ages 65 years and older,White,Overall,48143
2001,TX,Erath,Cardiovascular Diseases,2302.1,"per 100,000",Ages 65 years and older,White,Overall,48143
2014,TX,Erath,Cardiovascular Diseases,1696,"per 100,000",Ages 65 years and older,White,Overall,48143
2011,TX,Erath,Cardiovascular Diseases,1630.5,"per 100,000",Ages 65 years and older,White,Overall,48143
2009,TX,Erath,Cardiovascular Diseases,1824.5,"per 100,000",Ages 65 years and older,White,Overall,48143
1999,TX,Erath,Cardiovascular Diseases,2455,"per 100,000",Ages 65 years and older,White,Overall,48143
2006,TX,Erath,Cardiovascular Diseases,2018.3,"per 100,000",Ages 65 years and older,White,Overall,48143
2018,TX,Erath,Cardiovascular Diseases,1638.1,"per 100,000",Ages 65 years and older,White,Overall,48143
2004,TX,Erath,Cardiovascular Diseases,2148.1,"per 100,000",Ages 65 years and older,White,Overall,48143
2013,TX,Erath,Cardiovascular Diseases,1658.3,"per 100,000",Ages 65 years and older,White,Overall,48143
2016,TX,Erath,Cardiovascular Diseases,1682.2,"per 100,000",Ages 65 years and older,White,Overall,48143
2000,TX,Erath,Cardiovascular Diseases,2405.2,"per 100,000",Ages 65 years and older,White,Overall,48143
2007,TX,Erath,Cardiovascular Diseases,1940.7,"per 100,000",Ages 65 years and older,White,Overall,48143
2008,TX,Erath,Cardiovascular Diseases,1951.6,"per 100,000",Ages 65 years and older,White,Overall,48143
2003,TX,Erath,Cardiovascular Diseases,2167.7,"per 100,000",Ages 65 years and older,White,Overall,48143
2018,TX,Falls,Cardiovascular Diseases,331.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2012,TX,Falls,Cardiovascular Diseases,353.5,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2001,TX,Falls,Cardiovascular Diseases,375.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2002,TX,Falls,Cardiovascular Diseases,393.9,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2019,TX,Falls,Cardiovascular Diseases,330.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2017,TX,Falls,Cardiovascular Diseases,343,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2011,TX,Falls,Cardiovascular Diseases,364.9,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2015,TX,Falls,Cardiovascular Diseases,362.8,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2003,TX,Falls,Cardiovascular Diseases,409.7,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2005,TX,Falls,Cardiovascular Diseases,380.5,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2009,TX,Falls,Cardiovascular Diseases,391.2,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2014,TX,Falls,Cardiovascular Diseases,373.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2000,TX,Falls,Cardiovascular Diseases,370,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2004,TX,Falls,Cardiovascular Diseases,388.5,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
1999,TX,Falls,Cardiovascular Diseases,376,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2010,TX,Falls,Cardiovascular Diseases,370.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2016,TX,Falls,Cardiovascular Diseases,348.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2006,TX,Falls,Cardiovascular Diseases,404.8,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2008,TX,Falls,Cardiovascular Diseases,387.5,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2013,TX,Falls,Cardiovascular Diseases,361.6,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2007,TX,Falls,Cardiovascular Diseases,397.6,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48145
2011,TX,Falls,Cardiovascular Diseases,119.7,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2006,TX,Falls,Cardiovascular Diseases,135.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2008,TX,Falls,Cardiovascular Diseases,134.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2018,TX,Falls,Cardiovascular Diseases,105.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2007,TX,Falls,Cardiovascular Diseases,134,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2009,TX,Falls,Cardiovascular Diseases,133.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2012,TX,Falls,Cardiovascular Diseases,119.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2010,TX,Falls,Cardiovascular Diseases,127.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2019,TX,Falls,Cardiovascular Diseases,100.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2005,TX,Falls,Cardiovascular Diseases,141.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2000,TX,Falls,Cardiovascular Diseases,123.1,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
1999,TX,Falls,Cardiovascular Diseases,131,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2017,TX,Falls,Cardiovascular Diseases,107.7,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2016,TX,Falls,Cardiovascular Diseases,111,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2001,TX,Falls,Cardiovascular Diseases,124.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2014,TX,Falls,Cardiovascular Diseases,118.3,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2015,TX,Falls,Cardiovascular Diseases,115.7,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2003,TX,Falls,Cardiovascular Diseases,133.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2013,TX,Falls,Cardiovascular Diseases,115.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2004,TX,Falls,Cardiovascular Diseases,140.7,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2002,TX,Falls,Cardiovascular Diseases,135.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48145
2014,TX,Falls,Cardiovascular Diseases,174.2,"per 100,000",Ages 35-64 years,White,Overall,48145
2018,TX,Falls,Cardiovascular Diseases,155.1,"per 100,000",Ages 35-64 years,White,Overall,48145
2013,TX,Falls,Cardiovascular Diseases,170,"per 100,000",Ages 35-64 years,White,Overall,48145
2017,TX,Falls,Cardiovascular Diseases,160.5,"per 100,000",Ages 35-64 years,White,Overall,48145
2004,TX,Falls,Cardiovascular Diseases,164,"per 100,000",Ages 35-64 years,White,Overall,48145
2005,TX,Falls,Cardiovascular Diseases,162.2,"per 100,000",Ages 35-64 years,White,Overall,48145
2015,TX,Falls,Cardiovascular Diseases,165.1,"per 100,000",Ages 35-64 years,White,Overall,48145
2007,TX,Falls,Cardiovascular Diseases,170.1,"per 100,000",Ages 35-64 years,White,Overall,48145
2019,TX,Falls,Cardiovascular Diseases,155.6,"per 100,000",Ages 35-64 years,White,Overall,48145
2000,TX,Falls,Cardiovascular Diseases,170.6,"per 100,000",Ages 35-64 years,White,Overall,48145
2001,TX,Falls,Cardiovascular Diseases,166,"per 100,000",Ages 35-64 years,White,Overall,48145
2016,TX,Falls,Cardiovascular Diseases,160.2,"per 100,000",Ages 35-64 years,White,Overall,48145
2008,TX,Falls,Cardiovascular Diseases,171.7,"per 100,000",Ages 35-64 years,White,Overall,48145
2006,TX,Falls,Cardiovascular Diseases,172.6,"per 100,000",Ages 35-64 years,White,Overall,48145
2009,TX,Falls,Cardiovascular Diseases,163.4,"per 100,000",Ages 35-64 years,White,Overall,48145
2002,TX,Falls,Cardiovascular Diseases,169.7,"per 100,000",Ages 35-64 years,White,Overall,48145
2012,TX,Falls,Cardiovascular Diseases,170.1,"per 100,000",Ages 35-64 years,White,Overall,48145
2010,TX,Falls,Cardiovascular Diseases,162.6,"per 100,000",Ages 35-64 years,White,Overall,48145
2003,TX,Falls,Cardiovascular Diseases,166.8,"per 100,000",Ages 35-64 years,White,Overall,48145
1999,TX,Falls,Cardiovascular Diseases,173.8,"per 100,000",Ages 35-64 years,White,Overall,48145
2011,TX,Falls,Cardiovascular Diseases,163.1,"per 100,000",Ages 35-64 years,White,Overall,48145
2019,TX,Falls,Cardiovascular Diseases,2007.3,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2017,TX,Falls,Cardiovascular Diseases,2143.9,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2003,TX,Falls,Cardiovascular Diseases,3206.2,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2004,TX,Falls,Cardiovascular Diseases,3002.5,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2018,TX,Falls,Cardiovascular Diseases,2090.5,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2000,TX,Falls,Cardiovascular Diseases,3141.6,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2002,TX,Falls,Cardiovascular Diseases,3240.4,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2011,TX,Falls,Cardiovascular Diseases,2423.5,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2005,TX,Falls,Cardiovascular Diseases,2836.9,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2014,TX,Falls,Cardiovascular Diseases,2314.2,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2001,TX,Falls,Cardiovascular Diseases,3250.7,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2010,TX,Falls,Cardiovascular Diseases,2662.2,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2013,TX,Falls,Cardiovascular Diseases,2294,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2007,TX,Falls,Cardiovascular Diseases,3046.5,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
1999,TX,Falls,Cardiovascular Diseases,3243.8,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2008,TX,Falls,Cardiovascular Diseases,2884.5,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2012,TX,Falls,Cardiovascular Diseases,2269.6,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2015,TX,Falls,Cardiovascular Diseases,2249.1,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2016,TX,Falls,Cardiovascular Diseases,2190.3,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2009,TX,Falls,Cardiovascular Diseases,2752.4,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2006,TX,Falls,Cardiovascular Diseases,3033.2,"per 100,000",Ages 65 years and older,Black (Non-Hispanic),Overall,48145
2015,TX,Falls,Cardiovascular Diseases,1626,"per 100,000",Ages 65 years and older,White,Overall,48145
2010,TX,Falls,Cardiovascular Diseases,1926.7,"per 100,000",Ages 65 years and older,White,Overall,48145
2002,TX,Falls,Cardiovascular Diseases,2455.4,"per 100,000",Ages 65 years and older,White,Overall,48145
2012,TX,Falls,Cardiovascular Diseases,1752,"per 100,000",Ages 65 years and older,White,Overall,48145
2017,TX,Falls,Cardiovascular Diseases,1630.8,"per 100,000",Ages 65 years and older,White,Overall,48145
2019,TX,Falls,Cardiovascular Diseases,1577.8,"per 100,000",Ages 65 years and older,White,Overall,48145
2005,TX,Falls,Cardiovascular Diseases,2207.8,"per 100,000",Ages 65 years and older,White,Overall,48145
2001,TX,Falls,Cardiovascular Diseases,2464.7,"per 100,000",Ages 65 years and older,White,Overall,48145
2014,TX,Falls,Cardiovascular Diseases,1708.1,"per 100,000",Ages 65 years and older,White,Overall,48145
2011,TX,Falls,Cardiovascular Diseases,1805.8,"per 100,000",Ages 65 years and older,White,Overall,48145
2009,TX,Falls,Cardiovascular Diseases,1968.3,"per 100,000",Ages 65 years and older,White,Overall,48145
1999,TX,Falls,Cardiovascular Diseases,2607.1,"per 100,000",Ages 65 years and older,White,Overall,48145
2006,TX,Falls,Cardiovascular Diseases,2239.9,"per 100,000",Ages 65 years and older,White,Overall,48145
2018,TX,Falls,Cardiovascular Diseases,1631.2,"per 100,000",Ages 65 years and older,White,Overall,48145
2004,TX,Falls,Cardiovascular Diseases,2294.2,"per 100,000",Ages 65 years and older,White,Overall,48145
2013,TX,Falls,Cardiovascular Diseases,1729.9,"per 100,000",Ages 65 years and older,White,Overall,48145
2016,TX,Falls,Cardiovascular Diseases,1598,"per 100,000",Ages 65 years and older,White,Overall,48145
2000,TX,Falls,Cardiovascular Diseases,2546.5,"per 100,000",Ages 65 years and older,White,Overall,48145
2007,TX,Falls,Cardiovascular Diseases,2214.3,"per 100,000",Ages 65 years and older,White,Overall,48145
2008,TX,Falls,Cardiovascular Diseases,2181.9,"per 100,000",Ages 65 years and older,White,Overall,48145
2003,TX,Falls,Cardiovascular Diseases,2469.8,"per 100,000",Ages 65 years and older,White,Overall,48145
2018,TX,Fannin,Cardiovascular Diseases,261.8,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2012,TX,Fannin,Cardiovascular Diseases,223.2,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2001,TX,Fannin,Cardiovascular Diseases,293.7,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2002,TX,Fannin,Cardiovascular Diseases,302.3,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2019,TX,Fannin,Cardiovascular Diseases,262.8,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2017,TX,Fannin,Cardiovascular Diseases,257.2,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2011,TX,Fannin,Cardiovascular Diseases,232.5,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2015,TX,Fannin,Cardiovascular Diseases,243.6,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2003,TX,Fannin,Cardiovascular Diseases,301.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2005,TX,Fannin,Cardiovascular Diseases,274.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2009,TX,Fannin,Cardiovascular Diseases,249.7,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2014,TX,Fannin,Cardiovascular Diseases,227.5,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2000,TX,Fannin,Cardiovascular Diseases,298.1,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2004,TX,Fannin,Cardiovascular Diseases,281.6,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
1999,TX,Fannin,Cardiovascular Diseases,282.3,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2010,TX,Fannin,Cardiovascular Diseases,247.6,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2016,TX,Fannin,Cardiovascular Diseases,236.4,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2006,TX,Fannin,Cardiovascular Diseases,265.3,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2008,TX,Fannin,Cardiovascular Diseases,237,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2013,TX,Fannin,Cardiovascular Diseases,224.2,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2007,TX,Fannin,Cardiovascular Diseases,248,"per 100,000",Ages 35-64 years,Black (Non-Hispanic),Overall,48147
2011,TX,Fannin,Cardiovascular Diseases,70.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2006,TX,Fannin,Cardiovascular Diseases,86.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2008,TX,Fannin,Cardiovascular Diseases,79.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2018,TX,Fannin,Cardiovascular Diseases,72.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2007,TX,Fannin,Cardiovascular Diseases,85.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2009,TX,Fannin,Cardiovascular Diseases,80.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2012,TX,Fannin,Cardiovascular Diseases,69.6,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2010,TX,Fannin,Cardiovascular Diseases,78.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2019,TX,Fannin,Cardiovascular Diseases,72.7,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2005,TX,Fannin,Cardiovascular Diseases,94.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2000,TX,Fannin,Cardiovascular Diseases,100.3,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
1999,TX,Fannin,Cardiovascular Diseases,99.3,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2017,TX,Fannin,Cardiovascular Diseases,76.8,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2016,TX,Fannin,Cardiovascular Diseases,72.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2001,TX,Fannin,Cardiovascular Diseases,97.5,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2014,TX,Fannin,Cardiovascular Diseases,70,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2015,TX,Fannin,Cardiovascular Diseases,73.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2003,TX,Fannin,Cardiovascular Diseases,95.4,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2013,TX,Fannin,Cardiovascular Diseases,68.3,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2004,TX,Fannin,Cardiovascular Diseases,98.9,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2002,TX,Fannin,Cardiovascular Diseases,100.2,"per 100,000",Ages 35-64 years,Hispanic,Overall,48147
2014,TX,Fannin,Cardiovascular Diseases,220.8,"per 100,000",Ages 35-64 years,White,Overall,48147
2018,TX,Fannin,Cardiovascular Diseases,231.7,"per 100,000",Ages 35-64 years,White,Overall,48147
